idx,company,website,tax1,notes,city,lat,lng,tax2,tax3
0,Energy Capital Partners (ECP),https://www.ecpgp.com/,Private Equity,"energy efficiency, hydro, energy generation, storage, generation/transmission, wind",filler,40.718603,-74.357785,Private Equity,Private Equity
1,Kayne Anderson Capital Advisors,https://kaynefunds.com/kyn/,Private Equity,"oil and gas, utility/grid",filler,40.758558,-73.974624,Private Equity,Private Equity
2,Ares Private Equity Group,https://www.aresmgmt.com/our-business/private-equity/energy-opportunities,Private Equity,oil and gas,filler,40.754548,-73.974509,Private Equity,Private Equity
3,KKR,https://www.kkr.com/businesses/infrastructure,Private Equity,"oil and gas, solar, wind, storage",filler,40.754034,-74.000226,Private Equity,Private Equity
4,Pelican Energy Partners,http://www.pelicanenergypartners.com/,Private Equity,"enabling technologies/components, energy systems/management, engineering, build environment/construction",filler,29.745325,-95.558939,Private Equity,Private Equity
5,Post Oak Energy Capital,https://www.postoakenergy.com/,Private Equity,"Wave/Water/Hydro, utilities, engineering, oil and gas, generation/transmission ",filler,29.755657,-95.460035,Private Equity,Private Equity
6,Pearl Energy Investments,https://www.pearl-energy.com/,Private Equity,"oil and gas, generation/transmission, geology",filler,32.791648,-96.802476,Private Equity,Private Equity
7,Quantum Energy Partners,https://www.quantumep.com/,Private Equity,"oil and gas, storage, wind, solar",filler,29.759821,-95.364696,Private Equity,Private Equity
8,Energy Impact Partners,https://www.energyimpactpartners.com/,Private Equity,"energy systems/management, enabling technologies/components, utility/grid, logistics",filler,40.749324,-73.975909,Private Equity,Private Equity
9,Fulcrum Energy Capital,https://fulcrumef.com/,Private Equity,oil and gas,filler,39.744162,-104.988947,Private Equity,Private Equity
10,Denham Capital,https://www.denhamcapital.com/,Private Equity,"oil and gas, geology, materials, wind, wave/water/hydro, solar",filler,29.760551,-95.366403,Private Equity,Private Equity
11,Energy Trust Partners,https://www.energytrustpartners.com/,Private Equity,oil and gas,filler,32.862309,-96.811614,Private Equity,Private Equity
12,Carnelian Energy Capital,https://carnelianenergy.com/,Private Equity,"oil and gas, materials",filler,29.748758,-95.414389,Private Equity,Private Equity
13,Hull Street Energy,https://www.hullstreetenergy.com/,Private Equity,"wave/Water/Hydro, generation/transmission, storage, solar, utilities",filler,38.981126,-77.094615,Private Equity,Private Equity
14,Turnbridge Capital Partners,https://www.turnbridgecapital.com/,Private Equity,"utility/grid, oil and gas, energy systems/management",filler,32.793654,-96.803908,Private Equity,Private Equity
15,BP Energy Partners,https://www.bpenergypartners.com/,Private Equity,Oil and Gas,filler,32.79588,-96.805587,Private Equity,Private Equity
16,Lime Rock Partners,https://www.lrpartners.com/,Private Equity,"oil and gas, generation/transmission",filler,29.758905,-95.370826,Private Equity,Private Equity
17,Ara Partners,https://www.arapartners.com/,Private Equity,"materials, chemistry, manufacturing, energy efficiency",filler,29.762023,-95.415923,Private Equity,Private Equity
18,ArcLight Capital Partners,www.arclight.com,Private Equity,"wave/water/hydro, wind",filler,42.349321,-71.075118,Private Equity,Private Equity
19,Warburg Pincus,https://warburgpincus.com/,Private Equity,,filler,40.753289,-73.975427,Private Equity,Private Equity
20,Mountain Capital,https://mountainlp.com/investments/,Private Equity,oil and gas,filler,29.759292,-95.366313,Private Equity,Private Equity
21,Riverstone Holdings,https://www.riverstonellc.com/en/home/,Private Equity,oil and gas,filler,40.762287,-73.975043,Private Equity,Private Equity
22,Tailwater Capital,https://tailwatercapital.com/,Private Equity,"oil and gas, utilities",filler,32.791046,-96.803762,Private Equity,Private Equity
23,First Reserve,https://www.firstreserve.com/,Private Equity,"oil and gas, manufacturing, energy efficiency, storage",filler,41.03533,-73.532185,Private Equity,Private Equity
24,Starwood Energy Group,https://www.starwoodenergygroup.com/,Private Equity,"solar, wind, generation/transmission, thermal energy, oil and gas, storage",filler,41.019442,-73.647124,Private Equity,Private Equity
25,Braemar Energy Ventures,Braemar Energy Ventures,Venture Capital,"Cleantech: Environmental Rediation, Energy Efficiency, Materials;  oil and gas; nuclear; enabling technologies; finance; grid; manufacturing",filler,40.754487,-73.978297,Venture Capital,Venture Capital
26,Enertech Capital,https://www.enertechcapital.com,Venture Capital,Iot; Cybersecurity; analytics; oil and gas; ,filler,40.154554,-75.221565,Venture Capital,Venture Capital
27,The Ecosystem Integrity Fund,https://ecosystemintegrity.com/portfolio/,Venture Capital,electrical vehicles; aerospace; analytics;solar; thermal; ,filler,37.882401,-122.096038,Venture Capital,Venture Capital
